n_apparies,kruskal_h,kruskal_p,epsilon2_kruskal,anova_f,anova_p,var1,var2,cas,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,chi2,chi2_p,dof,cramers_v
15022,,,,,,NBENF,CDCATCL,quantitatif_quantitatif,-0.14696306843993245,2.69012939365503e-73,-0.18748575800638992,6.758840497002591e-119,-0.17477968926885842,8.377060288368685e-117,,,,
15022,,,,,,NBENF,BPADH,quantitatif_quantitatif,-0.0064849950662263164,0.4267467849238641,0.039664616673863576,1.1563516165665751e-06,0.032351853741146255,1.1146930468703285e-06,,,,
15022,252.4819318560493,0.9999999999999998,0.0,0.5049963163270551,1.0,NBENF,DTDEM,quantitatif_qualitatif,,,,,,,,,,
15022,,,,,,CDSITFAM,DTADH,qualitatif_qualitatif,,,,,,,72053.77030662267,0.9649272238761313,72743.0,0.6603408037093451
15022,6635.889271025764,0.0,0.44136504137413485,967.8905693609275,0.0,CDTMT,CDSITFAM,quantitatif_qualitatif,,,,,,,,,,
827,,,,,,CDSITFAM,CDMOTDEM,qualitatif_qualitatif,,,,,,,38.10805831031845,0.07617014310258004,27.0,0.12393530172079026
15022,2919.816166175843,0.0,0.19379188315628534,267.9857811440282,0.0,CDCATCL,CDSITFAM,quantitatif_qualitatif,,,,,,,,,,
15022,1478.4965912563978,1.3864120160037e-310,0.09776792746544956,12.408568882696109,1.0997712653358863e-23,BPADH,CDSITFAM,quantitatif_qualitatif,,,,,,,,,,
15022,,,,,,CDSITFAM,DTDEM,qualitatif_qualitatif,,,,,,,2927.849710846321,1.0,5027.0,0.13311106823220814
15022,7021.373606278887,0.00024502282010106324,0.0485696487011045,1.1406017428666633,7.005576248733957e-09,CDTMT,DTADH,quantitatif_qualitatif,,,,,,,,,,
827,,,,,,DTADH,CDMOTDEM,qualitatif_qualitatif,,,,,,,2406.0497553911296,0.18969949778237288,2346.0,0.9847793196960728
15022,7213.146478383484,1.9454160791604406e-07,0.07137803025493382,1.2495001452203411,3.4197543888367543e-22,CDCATCL,DTADH,quantitatif_qualitatif,,,,,,,,,,
15022,7823.226649961349,1.2871957844071895e-23,0.14393751783555528,1.499121719607888,7.116940879737196e-69,BPADH,DTADH,quantitatif_qualitatif,,,,,,,,,,
15022,,,,,,DTADH,DTDEM,qualitatif_qualitatif,,,,,,,3402311.846663284,0.0,3022141.0,0.7039877138748459
827,17.12659658894696,0.0006656104546419554,0.017164758917311007,5.808568202499488,0.0006265475635998087,CDTMT,CDMOTDEM,quantitatif_qualitatif,,,,,,,,,,
15022,,,,,,CDTMT,CDCATCL,quantitatif_quantitatif,-0.2921519316767778,2.3038761424946044e-293,-0.48881217646198954,0.0,-0.4750988584792665,0.0,,,,
15022,,,,,,CDTMT,BPADH,quantitatif_quantitatif,-0.12458022325564594,5.004575338332809e-53,0.22514154004686796,6.302642121951099e-172,0.18859833573456528,1.5688593774940658e-165,,,,
15022,676.2932391570682,1.0109688675935424e-10,0.015057212246434236,1.4507083100721356,1.8417407756419068e-09,CDTMT,DTDEM,quantitatif_qualitatif,,,,,,,,,,
827,152.31637585887856,8.337892566215989e-33,0.18142937528417807,45.99422897890997,1.7429072572447512e-27,CDCATCL,CDMOTDEM,quantitatif_qualitatif,,,,,,,,,,
827,65.85975942943968,3.2842431042686904e-14,0.07637880854123898,6.288693691581542,0.0003207446587481053,BPADH,CDMOTDEM,quantitatif_qualitatif,,,,,,,,,,
827,,,,,,CDMOTDEM,DTDEM,qualitatif_qualitatif,,,,,,,2256.93206196517,2.455085182864102e-46,1371.0,0.9537748380741218
15022,,,,,,CDCATCL,BPADH,quantitatif_quantitatif,0.16608848743995758,2.2742534639229097e-93,-0.22146843986705195,2.740683554967698e-166,-0.18350994104732757,1.1215636617031784e-165,,,,
15022,968.2505709526245,7.246360879411704e-39,0.035103719510616894,1.52557394142726,7.500151021170927e-12,CDCATCL,DTDEM,quantitatif_qualitatif,,,,,,,,,,
15022,501.9134378169393,0.071949043709992,0.0030838669195920954,0.3437856793740668,1.0,BPADH,DTDEM,quantitatif_qualitatif,,,,,,,,,,
