ID,CDSEXE,MTREV,NBENF,CDSITFAM,CDTMT,CDMOTDEM,CDCATCL,BPADH,DTDEM,age_2007,anciennete_adh_ans,MTREV_discrete,cible_churn
12769,2,0,1,M,2,__MANQUANT__,10,10107,31/12/1900,58.913073237508556,2.8501026694045173,0,0
12770,2,0,0,A,0,__MANQUANT__,23,88883,31/12/1900,,2.847364818617385,0,0
12771,4,0,0,C,2,__MANQUANT__,10,10107,31/12/1900,27.082819986310746,2.847364818617385,0,0
12772,2,1500,0,U,2,__MANQUANT__,10,13507,31/12/1900,31.15400410677618,2.847364818617385,0,0
12773,3,1500,0,U,2,__MANQUANT__,10,13507,31/12/1900,,2.847364818617385,0,0
12774,4,0,0,P,2,__MANQUANT__,10,16707,31/12/1900,,2.847364818617385,0,0
12775,3,0,0,D,2,__MANQUANT__,10,14707,31/12/1900,46.06707734428473,2.847364818617385,0,0
12776,2,0,0,A,0,__MANQUANT__,21,88882,31/12/1900,64.97741273100615,2.844626967830253,0,0
12777,3,0,0,A,0,__MANQUANT__,23,88883,31/12/1900,,2.844626967830253,0,0
12778,4,1490,0,C,2,__MANQUANT__,10,15807,31/12/1900,27.98631074606434,2.844626967830253,0,0
12779,2,2966,1,D,2,__MANQUANT__,10,12149,31/12/1900,,2.844626967830253,1,0
12780,2,0,0,C,2,__MANQUANT__,21,10107,31/12/1900,,2.836413415468857,0,0
12781,4,0,3,C,2,__MANQUANT__,10,14707,31/12/1900,39.162217659137575,2.836413415468857,0,0
12782,2,4300,1,G,2,__MANQUANT__,10,15607,31/12/1900,,2.833675564681725,1,0
12783,3,1500,1,U,0,__MANQUANT__,10,10307,31/12/1900,,2.833675564681725,0,0
12784,4,0,0,C,2,__MANQUANT__,10,10207,31/12/1900,,2.833675564681725,0,0
12785,3,0,0,A,0,__MANQUANT__,21,88882,31/12/1900,40.99931553730322,2.830937713894593,0,0
12786,4,0,0,C,0,__MANQUANT__,23,88883,31/12/1900,33.24845995893224,2.830937713894593,0,0
12787,2,2564,1,M,2,__MANQUANT__,10,18319,31/12/1900,39.167693360711844,2.830937713894593,1,0
12788,2,0,0,C,2,__MANQUANT__,10,10107,31/12/1900,,2.8281998631074607,0,0
12789,2,1918,1,U,0,__MANQUANT__,21,11307,31/12/1900,,2.8254620123203287,1,0
12790,4,0,0,C,0,DV,21,11307,17/11/2005,28.303901437371664,2.8254620123203287,0,1
12791,2,2400,0,P,0,__MANQUANT__,21,11307,31/12/1900,30.811772758384667,2.8254620123203287,1,0
12792,2,0,0,C,2,__MANQUANT__,10,10807,31/12/1900,31.824777549623544,2.8254620123203287,0,0
12793,4,1880,0,U,2,__MANQUANT__,10,11907,31/12/1900,49.91101984941821,2.817248459958932,1,0
12794,2,0,0,A,0,__MANQUANT__,21,88882,31/12/1900,,2.8145106091718,0,0
12795,2,0,0,A,0,__MANQUANT__,21,88882,31/12/1900,,2.8145106091718,0,0
12796,2,1400,1,U,2,__MANQUANT__,10,14707,31/12/1900,36.90622861054072,2.8145106091718,0,0
12797,2,0,0,C,2,__MANQUANT__,21,10107,31/12/1900,,2.811772758384668,0,0
12798,4,0,2,C,2,__MANQUANT__,10,10107,31/12/1900,51.304585900068446,2.809034907597536,0,0
12799,2,2400,1,P,2,__MANQUANT__,10,18707,31/12/1900,,2.809034907597536,1,0
12800,4,0,0,C,2,__MANQUANT__,21,10107,31/12/1900,3.2279260780287475,2.8062970568104038,0,0
12801,2,2328,2,A,0,__MANQUANT__,23,88883,31/12/1900,43.65229295003422,2.7980835044490076,1,0
12802,4,1767,1,P,2,__MANQUANT__,10,13607,31/12/1900,31.249828884325805,2.7980835044490076,1,0
12803,2,0,3,U,2,__MANQUANT__,10,13507,31/12/1900,36.24093086926762,2.7980835044490076,0,0
12804,3,1040,0,M,0,__MANQUANT__,21,88881,31/12/1900,,2.7980835044490076,0,0
12805,3,0,0,A,0,__MANQUANT__,21,88882,31/12/1900,,2.7953456536618755,0,0
12806,3,0,0,A,0,__MANQUANT__,21,11307,31/12/1900,87.00068446269678,2.7926078028747434,0,0
12807,4,0,0,C,2,__MANQUANT__,10,15707,31/12/1900,,2.7926078028747434,0,0
12808,2,1660,0,C,2,__MANQUANT__,10,18707,31/12/1900,,2.7926078028747434,0,0
12809,3,0,1,M,0,__MANQUANT__,21,88881,31/12/1900,,2.7926078028747434,0,0
12810,3,0,0,A,0,__MANQUANT__,21,88882,31/12/1900,51.488021902806295,2.7898699520876113,0,0
12811,2,0,0,A,0,__MANQUANT__,21,88882,31/12/1900,,2.7898699520876113,0,0
12812,4,0,0,A,0,__MANQUANT__,25,88882,31/12/1900,50.98425735797399,2.7898699520876113,0,0
12813,4,1450,0,U,2,__MANQUANT__,10,15607,31/12/1900,30.48596851471595,2.7898699520876113,0,0
12814,4,0,0,C,2,__MANQUANT__,10,15707,31/12/1900,,2.7898699520876113,0,0
12815,3,1115,2,M,2,__MANQUANT__,10,10807,31/12/1900,,2.7898699520876113,0,0
12816,2,0,0,A,0,__MANQUANT__,25,88882,31/12/1900,,2.7871321013004793,0,0
12817,2,0,0,A,0,__MANQUANT__,21,88882,31/12/1900,,2.7871321013004793,0,0
12818,2,0,0,A,0,__MANQUANT__,25,88882,31/12/1900,,2.7871321013004793,0,0
12819,4,0,0,C,2,__MANQUANT__,21,10107,31/12/1900,16.303901437371664,2.7871321013004793,0,0
12820,2,0,1,M,2,__MANQUANT__,10,10107,31/12/1900,,2.7871321013004793,0,0
12821,3,0,3,M,2,__MANQUANT__,10,10107,31/12/1900,39.23066392881588,2.7761806981519506,0,0
12822,2,2200,0,M,2,__MANQUANT__,10,18707,31/12/1900,,2.7761806981519506,1,0
12823,2,0,0,C,2,__MANQUANT__,21,10107,31/12/1900,6.658453114305271,2.7734428473648185,0,0
12824,3,0,0,C,2,__MANQUANT__,10,10107,31/12/1900,41.48117727583847,2.7734428473648185,0,0
12825,2,0,0,A,0,__MANQUANT__,23,88883,31/12/1900,,2.7707049965776864,0,0
12826,3,0,0,M,2,__MANQUANT__,10,15607,31/12/1900,,2.7707049965776864,0,0
12827,2,0,0,C,2,__MANQUANT__,10,15607,31/12/1900,,2.7707049965776864,0,0
12828,4,1500,0,U,2,__MANQUANT__,10,15607,31/12/1900,,2.7707049965776864,0,0
12829,4,0,0,C,0,__MANQUANT__,10,17807,31/12/1900,,2.7707049965776864,0,0
12830,3,2070,1,M,2,__MANQUANT__,10,17807,31/12/1900,28.725530458590008,2.7679671457905544,1,0
12831,2,1707,0,M,0,__MANQUANT__,21,88881,31/12/1900,,2.7679671457905544,0,0
12832,2,1500,0,C,0,__MANQUANT__,10,11307,31/12/1900,,2.759753593429158,0,0
12833,2,0,0,A,0,__MANQUANT__,21,11307,31/12/1900,,2.759753593429158,0,0
12834,3,3948,0,A,0,__MANQUANT__,21,88882,31/12/1900,58.98973305954826,2.759753593429158,1,0
12835,3,0,0,A,0,__MANQUANT__,21,88882,31/12/1900,,2.759753593429158,0,0
12836,2,0,0,M,2,__MANQUANT__,10,16807,31/12/1900,67.48254620123203,2.759753593429158,0,0
12837,2,750,0,U,0,__MANQUANT__,21,88881,31/12/1900,,2.759753593429158,0,0
12838,2,1900,0,M,0,__MANQUANT__,21,11307,31/12/1900,,2.757015742642026,1,0
12839,2,0,0,M,2,__MANQUANT__,10,15607,31/12/1900,,2.757015742642026,0,0
12840,2,2655,0,D,0,__MANQUANT__,10,14607,31/12/1900,,2.754277891854894,1,0
