ID,cible_churn,z_CDSEXE,z_MTREV,z_NBENF,z_BPADH,z_age_ref,z_anciennete_adh_ans,sit_A,sit_B,sit_C,sit_D,sit_E,sit_F,sit_G,sit_M,sit_P,sit_S,sit_U,sit_V,cat_sitfam,cat_sexe,cat_nbenf,cat_mtrev,cat_age,cat_anc
69,0,1.8474695668177514,1.0744095069661797,0.6227412345253366,-0.11621058306618573,0.024986065562365205,1.582404091425479,0,0,1,0,0,0,0,0,0,0,0,0,5,3,1,1,0,4
70,0,-0.9093286682807151,1.8368446911530447,0.6227412345253366,-0.11621058306618573,0.024986065562365205,1.5748780798027677,0,0,0,0,1,0,0,0,0,0,0,0,6,1,1,1,0,4
71,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.11621058306618573,0.024986065562365205,1.4823360109605381,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,0,0,4
72,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.11621058306618573,3.5228124348696492,1.343522907697194,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4
73,0,-0.9093286682807151,1.2205967615613307,-0.5109013763616733,-0.11621058306618573,0.024986065562365205,1.3318157785063094,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,4
74,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.11621058306618573,0.024986065562365205,1.3109101906654441,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,4
75,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.11621058306618573,0.024986065562365205,2.129015528171299,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4
76,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,-0.4041440831716945,1.9977284365306658,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,4
77,0,-0.9093286682807151,0.9257992592009432,-0.5109013763616733,-0.11621058306618573,0.024986065562365205,1.572369409261864,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,4
78,0,1.8474695668177514,0.9371065606613416,-0.5109013763616733,-0.11621058306618573,0.024986065562365205,1.1690309345187728,0,0,1,0,0,0,0,0,0,0,0,0,5,3,0,1,0,4
79,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,2.0860720838642317,2.2636475138664705,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4
80,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,0.024986065562365205,2.16190698637426,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4
81,1,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,2.9474856422782936,2.071316105730511,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4
82,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,0.024986065562365205,2.044278212122992,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4
83,0,-0.9093286682807151,0.6608853392716086,-0.5109013763616733,-0.19436182396284576,1.2728174198972784,1.9835126367988776,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,4
84,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,0.029671733274246336,0.024986065562365205,1.9670669076973972,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4
85,1,1.8474695668177514,-0.5506112457710796,-0.5109013763616733,-0.7834658778418692,0.024986065562365205,1.8870681915596865,0,0,1,0,0,0,0,0,0,0,0,0,5,3,0,0,0,4
86,0,0.4690704492685181,3.863274645734448,-0.5109013763616733,0.029671733274246336,1.2639309572314423,1.879263438765764,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0,1,1,4
87,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,0.024986065562365205,1.6568279841389588,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
88,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,1.175926310831071,1.604145902779979,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4
89,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,1.7953987566656089,1.596341149986056,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4
