ID,cible_churn,z_CDSEXE,z_MTREV,z_NBENF,z_CDTMT,z_CDCATCL,z_BPADH,z_age_2007,z_anciennete_adh_ans,mm_CDSEXE,mm_MTREV,mm_NBENF,mm_CDTMT,mm_CDCATCL,mm_BPADH,mm_age_2007,mm_anciennete_adh_ans,sit_A,sit_B,sit_C,sit_D,sit_E,sit_F,sit_G,sit_M,sit_P,sit_S,sit_U,sit_V,mot_DA,mot_DC,mot_DV,mot_RA,mot___MANQUANT__
25,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,0.7727860943644208,-0.48741393741806377,-0.07974000398107772,0.024986065562365205,1.5626134682694601,0.6666666666666667,0.0,0.0,0.3333333333333333,0.0,0.15195697908580558,0.47317968590658777,0.5881214400265442,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
26,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-1.1964747554307154,-0.48741393741806377,-0.2464626512272858,1.7779124914199327,1.5180148808756146,0.3333333333333333,0.0,0.0,0.0,0.0,0.11595621406954898,0.6290791352233326,0.5792733506608416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,0.7727860943644208,-0.48741393741806377,0.04009189872713434,0.024986065562365205,1.5177361397044031,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.17783252894124,0.47317968590658777,0.579218050102306,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
28,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-1.1964747554307154,-0.48741393741806377,-0.7834658778418692,0.024986065562365205,1.4940431401514227,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.47317968590658777,0.5745175026267765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,0.7727860943644208,-0.48741393741806377,-0.2568828166801738,0.024986065562365205,1.4803848227620575,0.6666666666666667,0.0,0.0,0.3333333333333333,0.0,0.11370616625603294,0.47317968590658777,0.5718077752585301,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
30,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-1.1964747554307154,-0.48741393741806377,-0.19436182396284576,0.024986065562365205,1.4683989523999614,0.6666666666666667,0.0,0.0,0.0,0.0,0.12720645313712917,0.47317968590658777,0.5694298512414975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,0,-0.9093286682807151,1.0122193489339883,0.6227412345253366,0.7727860943644208,-0.48741393741806377,-0.19436182396284576,1.3677019083615225,1.4469358822166734,0.3333333333333333,0.050373571447166324,0.07692307692307693,0.3333333333333333,0.0,0.12720645313712917,0.5925963695696512,0.5651717082342531,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,0,-0.9093286682807151,0.7093452026733162,0.6227412345253366,0.7727860943644208,-0.48741393741806377,-0.2568828166801738,-0.14815662637843102,1.4090270829319047,0.3333333333333333,0.04061125139926587,0.07692307692307693,0.3333333333333333,0.0,0.11370616625603294,0.45778095043850703,0.557650832273406,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
33,0,-0.9093286682807151,1.4733957156402382,1.7563838454123466,0.7727860943644208,-0.48741393741806377,-0.07974000398107772,0.024986065562365205,1.4006648477955586,0.3333333333333333,0.06523833077343608,0.15384615384615385,0.3333333333333333,0.0,0.15195697908580558,0.47317968590658777,0.5559918155173367,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
34,0,-0.9093286682807151,1.370822338106624,1.7563838454123466,0.7727860943644208,-0.48741393741806377,-0.2568828166801738,0.9311185973916002,1.3970412125698084,0.3333333333333333,0.061932158383880456,0.15384615384615385,0.3333333333333333,0.0,0.11370616625603294,0.5537681011625535,0.5552729082563733,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
35,0,1.8474695668177514,1.5921223809744216,-0.5109013763616733,0.7727860943644208,-0.48741393741806377,-0.07974000398107772,0.024986065562365205,1.3853340833789238,1.0,0.06906516023221305,0.0,0.3333333333333333,0.0,0.15195697908580558,0.47317968590658777,0.5529502847978763,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-1.1964747554307154,-0.48741393741806377,0.1807641323411224,0.024986065562365205,1.364985977880482,0.6666666666666667,0.0,0.0,0.0,0.0,0.2082081744237065,0.47317968590658777,0.5489133440247747,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,0,0.4690704492685181,0.9266069235909716,-0.5109013763616733,0.7727860943644208,-0.48741393741806377,-0.2360424857743978,2.099831767991977,1.334324449047213,0.6666666666666667,0.04761408898029313,0.0,0.3333333333333333,0.0,0.11820626188306502,0.6577095655720987,0.5428302825858541,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,0.7727860943644208,-0.48741393741806377,-0.07974000398107772,0.024986065562365205,1.3318157785063094,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.15195697908580558,0.47317968590658777,0.5423325775590333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
39,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,0.7727860943644208,-0.48741393741806377,-0.07974000398107772,1.719433833877015,1.312861378863925,0.6666666666666667,0.0,0.0,0.3333333333333333,0.0,0.15195697908580558,0.6238782378135835,0.5385721395786097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
40,0,0.4690704492685181,0.9928354035733052,1.7563838454123466,0.7727860943644208,-0.48741393741806377,-0.07974000398107772,0.024986065562365205,1.2646391562443293,0.6666666666666667,0.04974878296410069,0.15384615384615385,0.3333333333333333,0.0,0.15195697908580558,0.47317968590658777,0.5290051429519438,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
41,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-1.1964747554307154,-0.48741393741806377,-0.7834658778418692,3.57785117138063,1.1963475692975034,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.7891596981439934,0.5154565061107117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-1.1964747554307154,-0.48741393741806377,-0.07974000398107772,0.024986065562365205,1.1333520646036965,0.6666666666666667,0.0,0.0,0.0,0.0,0.15195697908580558,0.47317968590658777,0.5029585798816568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
